MCC,mcc_grp_jpmci,MCC Merchant Type,CE Survey Category,PCE Category,pce_1,pce_2,pce_3,pce_4,Comment on CE,Comment on PCE
3175,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3177,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3180,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3182,travel_air,LOT (POLAND),Public and other transportation,Public transportation (air),203,0,0,0,,
3183,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3184,travel_air,LIAT,Public and other transportation,Public transportation (air),203,0,0,0,,
3187,travel_air,LACSA (COSTA RICA),Public and other transportation,Public transportation (air),203,0,0,0,,
3190,travel_air,JUGOSLAV AIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3191,travel_air,ISLAND AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3196,travel_air,HAWAIIAN AIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3206,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3211,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3212,travel_air,DOMINICANA,Public and other transportation,Public transportation (air),203,0,0,0,,
3217,travel_air,CSA,Public and other transportation,Public transportation (air),203,0,0,0,,
3219,travel_air,COPA,Public and other transportation,Public transportation (air),203,0,0,0,,
3221,travel_air,TRANSPORTES AEROS MILITARES ECCUATORANOS,Public and other transportation,Public transportation (air),203,0,0,0,,
3228,travel_air,CAYMAN AIRWAYS,Public and other transportation,Public transportation (air),203,0,0,0,,
3234,travel_air,BWIA,Public and other transportation,Public transportation (air),203,0,0,0,,
3240,travel_air,BAHAMASAIR,Public and other transportation,Public transportation (air),203,0,0,0,,
3245,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3246,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3247,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3248,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3256,travel_air,ALASKA AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3260,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3261,travel_air,AIR CHINA,Public and other transportation,Public transportation (air),203,0,0,0,,
3294,travel_air,ETHIOPIAN AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3295,travel_air,KENYA AIRLINES,Public and other transportation,Public transportation (air),203,0,0,0,,
3296,travel_air,Airlines,Public and other transportation,Public transportation (air),203,0,0,0,,
3351,travel_auto,AFFILIATED AUTO RENTAL,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3354,travel_auto,ACTION AUTO RENTAL,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3355,travel_auto,Car Rental,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3357,travel_auto,HERTZ RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3359,travel_auto,PAYLESS CAR RENTAL,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3364,travel_auto,AGENCY RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3366,travel_auto,BUDGET RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3368,travel_auto,HOLIDAY RENT-A-WRECK,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3370,travel_auto,RENT-A-WRECK,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3381,travel_auto,EUROP CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3385,travel_auto,TROPICAL RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3387,travel_auto,ALAMO RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3389,travel_auto,AVIS RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3390,travel_auto,DOLLAR RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3393,travel_auto,NATIONAL CAR RENTAL,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3395,travel_auto,THRIFTY RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3405,travel_auto,ENTERPRISE RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3427,travel_auto,AVON RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3433,travel_auto,UGLY DUCKLING RENT-A-CAR,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3441,travel_auto,Car Rental,"Vehicle rental, leases, licenses, and other charges",Other motor vehicle services,189,0,0,0,,
3501,travel_lodging,"HOLIDAY INNS, HOLIDAY INN EXPRESS",Other lodging,Hotels and motels,244,0,0,0,,
3502,travel_lodging,BEST WESTERN HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3503,travel_lodging,SHERATON HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3504,travel_lodging,HILTON HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3505,travel_lodging,FORTE HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3508,travel_lodging,"QUALITY INNS, QUALITY SUITES",Other lodging,Hotels and motels,244,0,0,0,,
3509,travel_lodging,MARRIOTT HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3510,travel_lodging,"DAYS INN, DAYSTOP",Other lodging,Hotels and motels,244,0,0,0,,
3512,travel_lodging,INTER-CONTINENTAL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3513,travel_lodging,WESTIN HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3515,travel_lodging,RODEWAY INNS,Other lodging,Hotels and motels,244,0,0,0,,
3516,travel_lodging,LA QUINTA MOTOR INNS,Other lodging,Hotels and motels,244,0,0,0,,
3517,travel_lodging,AMERICANA HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3519,travel_lodging,PULLMAN INTERNATIONAL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3520,travel_lodging,MERIDIEN HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3521,travel_lodging,CREST HOTELS (see FORTE HOTELS),Other lodging,Hotels and motels,244,0,0,0,,
3523,travel_lodging,PENNSULA HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3527,travel_lodging,DOWNTOWNER-PASSPORT HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3528,travel_lodging,"RED LION HOTELS, RED LION INNS",Other lodging,Hotels and motels,244,0,0,0,,
3529,travel_lodging,CP HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3530,travel_lodging,"RENAISSANCE HOTELS, STOUFFER HOTELS",Other lodging,Hotels and motels,244,0,0,0,,
3531,travel_lodging,ASTIR HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3532,travel_lodging,SUN ROUTE HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3533,travel_lodging,HOTEL IBIS,Other lodging,Hotels and motels,244,0,0,0,,
3535,travel_lodging,HILTON INTERNATIONAL,Other lodging,Hotels and motels,244,0,0,0,,
3538,travel_lodging,CONCORDE HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3539,travel_lodging,SUMMERFIELD SUITES HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3540,travel_lodging,IBEROTEL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3542,travel_lodging,ROYAL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3543,travel_lodging,FOUR SEASONS HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3545,travel_lodging,SHANGRI-LA INTERNATIONAL,Other lodging,Hotels and motels,244,0,0,0,,
3548,travel_lodging,HOTELES MELIA,Other lodging,Hotels and motels,244,0,0,0,,
3549,travel_lodging,AUBERGE DES GOVERNEURS,Other lodging,Hotels and motels,244,0,0,0,,
3551,travel_lodging,MIRAGE HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3552,travel_lodging,COAST HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3553,travel_lodging,PARK INNS INTERNATIONAL,Other lodging,Hotels and motels,244,0,0,0,,
3555,travel_lodging,TREASURE ISLAND HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3556,travel_lodging,BARTON CREEK RESORT,Other lodging,Hotels and motels,244,0,0,0,,
3559,travel_lodging,THISTLE HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3561,travel_lodging,GOLDEN NUGGET,Other lodging,Hotels and motels,244,0,0,0,,
3562,travel_lodging,COMFORT INNS,Other lodging,Hotels and motels,244,0,0,0,,
3564,travel_lodging,SAM'S TOWN HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3565,travel_lodging,RELAX INNS,Other lodging,Hotels and motels,244,0,0,0,,
3566,travel_lodging,GARDEN PLACE HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3567,travel_lodging,SOHO GRAND HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3569,travel_lodging,TRIBECA GRAND HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3572,travel_lodging,MIYAKO HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3575,travel_lodging,VAGABOND HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3577,travel_lodging,MANDARIN ORIENTAL HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3579,travel_lodging,HOTEL MERCURE,Other lodging,Hotels and motels,244,0,0,0,,
3580,travel_lodging,HOTEL DEL CORONADO,Other lodging,Hotels and motels,244,0,0,0,,
3581,travel_lodging,DELTA HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3583,travel_lodging,SAS HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3586,travel_lodging,SOKOS HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3589,travel_lodging,DORAL GOLF RESORT,Other lodging,Hotels and motels,244,0,0,0,,
3590,travel_lodging,FAIRMONT HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3591,travel_lodging,SONESTA HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3592,travel_lodging,OMNI HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3595,travel_lodging,HOSPITALITY INTERNATIONAL,Other lodging,Hotels and motels,244,0,0,0,,
3596,travel_lodging,WYNN LAS VEGAS,Other lodging,Hotels and motels,244,0,0,0,,
3597,travel_lodging,RIVERSIDE RESORT AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3602,travel_lodging,HUDSON HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3604,travel_lodging,HILTON GARDEN INN,Other lodging,Hotels and motels,244,0,0,0,,
3607,travel_lodging,FONTEAINEBLEAU RESORT,Other lodging,Hotels and motels,244,0,0,0,,
3608,travel_lodging,GAYLORD OPRYLAND,Other lodging,Hotels and motels,244,0,0,0,,
3609,travel_lodging,GAYLORD PALMS,Other lodging,Hotels and motels,244,0,0,0,,
3612,travel_lodging,MOVENPICK HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3613,travel_lodging,MICROTEL INN AND SUITES,Other lodging,Hotels and motels,244,0,0,0,,
3614,travel_lodging,AMERICINN,Other lodging,Hotels and motels,244,0,0,0,,
3615,travel_lodging,TRAVELODGE,Other lodging,Hotels and motels,244,0,0,0,,
3617,travel_lodging,AMERICA'S BEST VALUE INN,Other lodging,Hotels and motels,244,0,0,0,,
3618,travel_lodging,GREAT WOLF,Other lodging,Hotels and motels,244,0,0,0,,
3619,travel_lodging,ALOFT,Other lodging,Hotels and motels,244,0,0,0,,
3621,travel_lodging,EXTENDED STAY,Other lodging,Hotels and motels,244,0,0,0,,
3627,travel_lodging,EXTENDED STAY AMERICA,Other lodging,Hotels and motels,244,0,0,0,,
3628,travel_lodging,EXCALIBUR HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3631,travel_lodging,SLEEP INNS,Other lodging,Hotels and motels,244,0,0,0,,
3632,travel_lodging,PHOENICIAN,Other lodging,Hotels and motels,244,0,0,0,,
3634,travel_lodging,SWISSOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3637,travel_lodging,"RAMADA INNS, RAMADA LIMITED",Other lodging,Hotels and motels,244,0,0,0,,
3638,travel_lodging,"HO JO INN, HOWARD JOHNSON",Other lodging,Hotels and motels,244,0,0,0,,
3640,travel_lodging,HYATT HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3641,travel_lodging,SOFITEL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3642,travel_lodging,NOVOTEL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3643,travel_lodging,STEIGENBERGER HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3644,travel_lodging,ECONO LODGES,Other lodging,Hotels and motels,244,0,0,0,,
3645,travel_lodging,QUEENS MOAT HOUSES,Other lodging,Hotels and motels,244,0,0,0,,
3649,travel_lodging,RADISSON HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3650,travel_lodging,RED ROOK INNS,Other lodging,Hotels and motels,244,0,0,0,,
3652,travel_lodging,EMBASSY HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3654,travel_lodging,LOEWS HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3655,travel_lodging,SCANDIC HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3659,travel_lodging,TAJ HOTELS INTERNATIONAL,Other lodging,Hotels and motels,244,0,0,0,,
3660,travel_lodging,KNIGHTS INNS,Other lodging,Hotels and motels,244,0,0,0,,
3662,travel_lodging,CIRCUS CIRCUS HOTEL AND CASINO,"Other entertainment supplies, equipment, and services",Gambling,220,0,0,0,10-K shows the revenue from casino was more than 2.5 times the revenue from hotel,10-K shows the revenue from casino was more than 2.5 times the revenue from hotel
3663,travel_lodging,HOTELES EL PRESIDENTS,Other lodging,Hotels and motels,244,0,0,0,,
3665,travel_lodging,HAMPTON INNS,Other lodging,Hotels and motels,244,0,0,0,,
3667,travel_lodging,LUXOR HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3669,travel_lodging,ELDORADO HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3670,travel_lodging,ARCARD HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3672,travel_lodging,CAMPANIEL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3676,travel_lodging,MONTE CARLO HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3679,travel_lodging,DANUBIUS HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3680,travel_lodging,HOTEIS OTHAN,Other lodging,Hotels and motels,244,0,0,0,,
3681,travel_lodging,ADAMS MARK HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3684,travel_lodging,BUDGET HOST INNS,Other lodging,Hotels and motels,244,0,0,0,,
3685,travel_lodging,BUDGETEL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3687,travel_lodging,CLARION HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3690,travel_lodging,COURTYARD BY MARRIOTT,Other lodging,Hotels and motels,244,0,0,0,,
3692,travel_lodging,DOUBLETREE HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3693,travel_lodging,DRURY INNS,Other lodging,Hotels and motels,244,0,0,0,,
3694,travel_lodging,ECONOMY INNS OF AMERICA,Other lodging,Hotels and motels,244,0,0,0,,
3695,travel_lodging,EMBASSY SUITES,Other lodging,Hotels and motels,244,0,0,0,,
3697,travel_lodging,FARFIELD HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3699,travel_lodging,MIDWAY MOTOR LODGE,Other lodging,Hotels and motels,244,0,0,0,,
3700,travel_lodging,MOTEL 6,Other lodging,Hotels and motels,244,0,0,0,,
3703,travel_lodging,RESIDENCE INNS,Other lodging,Hotels and motels,244,0,0,0,,
3706,travel_lodging,SHILO INNS,Other lodging,Hotels and motels,244,0,0,0,,
3707,travel_lodging,SHONEY'S INNS,Other lodging,Hotels and motels,244,0,0,0,,
3708,travel_lodging,VIRGIN RIVER HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3709,travel_lodging,SUPER8 MOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3710,travel_lodging,THE RITZ CARLTON HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3712,travel_lodging,GOLDEN CHAIN HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3715,travel_lodging,FARIFIELD INN,Other lodging,Hotels and motels,244,0,0,0,,
3716,travel_lodging,CARLTON HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3719,travel_lodging,PROTEA HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3721,travel_lodging,HILTON CONRAD,Other lodging,Hotels and motels,244,0,0,0,,
3722,travel_lodging,WYNDHAM HOTEL AND RESORTS,Other lodging,Hotels and motels,244,0,0,0,,
3725,travel_lodging,SEAINES PLANATION,Other lodging,Hotels and motels,244,0,0,0,,
3726,travel_lodging,RIO SUITES,Other lodging,Hotels and motels,244,0,0,0,,
3727,travel_lodging,BROADMOOR HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3728,travel_lodging,BALLY'S HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3729,travel_lodging,JOHN ASCUAGA'S NUGGET,Other lodging,Hotels and motels,244,0,0,0,,
3730,travel_lodging,MGM GRAND HOTEL,"Other entertainment supplies, equipment, and services",Gambling,220,0,0,0,10-K shows the revenue from casino was more than 2.5 times the revenue from hotel,10-K shows the revenue from casino was more than 2.5 times the revenue from hotel
3731,travel_lodging,HARRAH'S HOTELS AND CASINOS,"Other entertainment supplies, equipment, and services",Gambling,220,0,0,0,10-K shows the revenue from casino was more than 2.5 times the revenue from hotel,10-K shows the revenue from casino was more than 2.5 times the revenue from hotel
3734,travel_lodging,HARVEY/BRISTOL HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
3735,travel_lodging,MASTERS ECONOMY INNS,Other lodging,Hotels and motels,244,0,0,0,,
3736,travel_lodging,COLORADO BELLE/EDGEWATER RESORT,Other lodging,Hotels and motels,244,0,0,0,,
3737,travel_lodging,RIVIERA HOTEL AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3738,travel_lodging,TROPICANA RESORT AND CASINO,Other lodging,Hotels and motels,244,0,0,0,,
3740,travel_lodging,TOWNPLACE SUITES,Other lodging,Hotels and motels,244,0,0,0,,
3741,travel_lodging,MILLENIUM BROADWAY HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3742,travel_lodging,CLUB MED,Other lodging,Hotels and motels,244,0,0,0,,
3743,travel_lodging,BILTMORE HOTEL AND SUITES,Other lodging,Hotels and motels,244,0,0,0,,
3745,travel_lodging,ST. REGIS HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3749,travel_lodging,THE BEVERLY HILLS HOTEL,Other lodging,Hotels and motels,244,0,0,0,,
3750,travel_lodging,CROWNE PLAZA HOTELS,Other lodging,Hotels and motels,244,0,0,0,,
